WSD: P:123 VM: 2448.48; RSS: 2.21446e+06
WSD: P:122 VM: 2458.18; RSS: 2.14296e+06
WSD: P:3 VM: 2380.89; RSS: 2.10396e+06
WSD: P:48 VM: 2303.95; RSS: 2.00472e+06
WSD: P:2 VM: 2730.32; RSS: 2.40326e+06
WSD: P:60 VM: 2091.79; RSS: 1.77579e+06
WSD: P:105 VM: 2686.28; RSS: 2.3538e+06
WSD: P:127 VM: 2601.98; RSS: 2.29154e+06
WSD: P:85 VM: 2882.59; RSS: 2.5572e+06
WSD: P:104 VM: 1986.53; RSS: 1.71782e+06
WSD: P:111 VM: 2397.07; RSS: 2.07084e+06
WSD: P:100 VM: 2417.46; RSS: 2.13102e+06
WSD: P:80 VM: 3023.71; RSS: 2.67667e+06
WSD: P:61 VM: 2839.68; RSS: 2.49253e+06
WSD: P:92 VM: 2672.8; RSS: 2.36134e+06
WSD: P:96 VM: 2457.36; RSS: 2.12694e+06
WSD: P:53 VM: 2717.23; RSS: 2.43255e+06
WSD: P:119 VM: 2422.23; RSS: 2.18601e+06
WSD: P:5 VM: 2395.39; RSS: 2.06848e+06
WSD: P:46 VM: 3371.47; RSS: 3.01445e+06
WSD: P:90 VM: 2804.24; RSS: 2.58133e+06
WSD: P:117 VM: 2531.08; RSS: 2.2668e+06
WSD: P:126 VM: 2636.25; RSS: 2.40041e+06
WSD: P:73 VM: 3161.92; RSS: 2.8152e+06
WSD: P:64 VM: 2820.14; RSS: 2.46666e+06
WSD: P:66 VM: 2689.27; RSS: 2.31657e+06
WSD: P:38 VM: 2763.45; RSS: 2.3765e+06
WSD: P:103 VM: 3251.6; RSS: 3.03263e+06
WSD: P:58 VM: 3227.11; RSS: 3.00902e+06
WSD: P:6 VM: 2965.58; RSS: 2.59079e+06
WSD: P:121 VM: 2699.26; RSS: 2.3714e+06
WSD: P:39 VM: 3154.59; RSS: 2.86554e+06
WSD: P:76 VM: 3127.95; RSS: 2.77608e+06
WSD: P:116 VM: 2066.47; RSS: 1.77566e+06
WSD: P:113 VM: 2730.14; RSS: 2.3682e+06
WSD: P:101 VM: 2380.69; RSS: 2.09268e+06
WSD: P:84 VM: 2852.46; RSS: 2.56312e+06
WSD: P:87 VM: 2473.19; RSS: 2.16375e+06
WSD: P:67 VM: 2706.2; RSS: 2.39711e+06
WSD: P:65 VM: 3541.14; RSS: 3.23894e+06
WSD: P:125 VM: 2471.77; RSS: 2.20374e+06
WSD: P:13 VM: 2629.44; RSS: 2.30832e+06
WSD: P:29 VM: 2522.94; RSS: 2.21949e+06
WSD: P:75 VM: 3025.7; RSS: 2.79995e+06
WSD: P:108 VM: 2817.59; RSS: 2.48577e+06
WSD: P:94 VM: 2891.41; RSS: 2.54809e+06
WSD: P:81 VM: 2989.52; RSS: 2.62002e+06
WSD: P:54 VM: 3479.97; RSS: 3.1277e+06
WSD: P:93 VM: 2546.11; RSS: 2.22652e+06
WSD: P:110 VM: 2064.61; RSS: 1.77674e+06
WSD: P:98 VM: 2499.23; RSS: 2.19737e+06
WSD: P:56 VM: 2832.89; RSS: 2.53593e+06
WSD: P:63 VM: 3238.15; RSS: 2.9604e+06
WSD: P:28 VM: 2775.79; RSS: 2.55098e+06
WSD: P:24 VM: 2905.61; RSS: 2.61668e+06
WSD: P:71 VM: 2328.89; RSS: 2.0957e+06
WSD: P:112 VM: 2690.52; RSS: 2.37849e+06
WSD: P:19 VM: 3100.2; RSS: 2.73858e+06
WSD: P:41 VM: 3313.94; RSS: 3.02709e+06
WSD: P:62 VM: 2722.48; RSS: 2.39036e+06
WSD: P:10 VM: 2421.66; RSS: 2.10535e+06
WSD: P:124 VM: 2916.72; RSS: 2.66066e+06
WSD: P:82 VM: 2735.55; RSS: 2.4032e+06
WSD: P:34 VM: 3494.5; RSS: 3.1835e+06
WSD: P:18 VM: 2843.31; RSS: 2.48312e+06
WSD: P:21 VM: 2922.46; RSS: 2.6217e+06
WSD: P:49 VM: 2420.28; RSS: 2.1214e+06
WSD: P:26 VM: 2428.81; RSS: 2.09924e+06
WSD: P:4 VM: 2920.54; RSS: 2.58876e+06
WSD: P:109 VM: 2754.05; RSS: 2.44059e+06
WSD: P:99 VM: 2495.32; RSS: 2.17354e+06
WSD: P:86 VM: 3193.45; RSS: 2.80424e+06
WSD: P:83 VM: 3451.47; RSS: 3.12066e+06
WSD: P:1 VM: 2856.1; RSS: 2.51347e+06
WSD: P:77 VM: 3060.26; RSS: 2.74175e+06
WSD: P:47 VM: 3239.28; RSS: 2.88552e+06
WSD: P:22 VM: 2751.75; RSS: 2.40638e+06
WSD: P:88 VM: 2331.06; RSS: 2.06689e+06
WSD: P:45 VM: 2947.48; RSS: 2.61584e+06
WSD: P:97 VM: 2711.98; RSS: 2.41446e+06
WSD: P:32 VM: 2664.43; RSS: 2.31088e+06
WSD: P:89 VM: 2336.63; RSS: 2.00736e+06
WSD: P:0 VM: 3077.79; RSS: 2.74728e+06
WSD: P:16 VM: 2965.66; RSS: 2.59143e+06
WSD: P:102 VM: 3153.93; RSS: 2.75184e+06
WSD: P:31 VM: 2494.36; RSS: 2.20326e+06
WSD: P:44 VM: 3221.19; RSS: 2.85528e+06
WSD: P:37 VM: 2939.24; RSS: 2.59778e+06
WSD: P:42 VM: 2431.86; RSS: 2.19752e+06
WSD: P:120 VM: 2495.66; RSS: 2.21578e+06
WSD: P:69 VM: 3750.55; RSS: 3.41771e+06
WSD: P:23 VM: 2706.51; RSS: 2.3663e+06
WSD: P:55 VM: 2342.45; RSS: 2.05168e+06
WSD: P:15 VM: 3070.53; RSS: 2.79048e+06
WSD: P:114 VM: 2799.32; RSS: 2.47778e+06
WSD: P:9 VM: 3210.8; RSS: 2.84969e+06
WSD: P:17 VM: 2995.92; RSS: 2.65242e+06
WSD: P:11 VM: 2713.34; RSS: 2.38478e+06
WSD: P:8 VM: 3250.41; RSS: 2.87062e+06
WSD: P:91 VM: 3228.25; RSS: 2.86369e+06
WSD: P:70 VM: 3258.05; RSS: 2.8627e+06
WSD: P:36 VM: 2997.36; RSS: 2.61422e+06
WSD: P:33 VM: 2924.89; RSS: 2.6086e+06
WSD: P:115 VM: 3595.14; RSS: 3.32518e+06
WSD: P:40 VM: 2682.27; RSS: 2.43838e+06
WSD: P:51 VM: 2892.23; RSS: 2.57947e+06
WSD: P:59 VM: 3016.28; RSS: 2.67846e+06
WSD: P:12 VM: 3159.08; RSS: 2.94063e+06
WSD: P:78 VM: 3144.1; RSS: 2.82488e+06
WSD: P:7 VM: 2548.97; RSS: 2.23636e+06
WSD: P:68 VM: 3403.55; RSS: 3.09215e+06
WSD: P:106 VM: 3249.17; RSS: 2.91538e+06
WSD: P:30 VM: 3115.94; RSS: 2.76025e+06
WSD: P:20 VM: 2621.96; RSS: 2.32659e+06
WSD: P:107 VM: 3230.7; RSS: 2.87418e+06
WSD: P:72 VM: 3256.74; RSS: 2.93246e+06
WSD: P:118 VM: 3222.29; RSS: 2.86897e+06
WSD: P:74 VM: 3049.61; RSS: 2.73235e+06
WSD: P:79 VM: 2984.76; RSS: 2.65638e+06
WSD: P:52 VM: 2575.44; RSS: 2.2634e+06
WSD: P:57 VM: 3048.91; RSS: 2.73752e+06
WSD: P:35 VM: 2673.78; RSS: 2.38621e+06
WSD: P:95 VM: 2895.55; RSS: 2.52646e+06
WSD: P:25 VM: 3196; RSS: 2.92263e+06
WSD: P:43 VM: 3079.77; RSS: 2.73476e+06
WSD: P:27 VM: 3242.24; RSS: 2.87832e+06
WSD: P:14 VM: 3204.93; RSS: 2.87428e+06
WSD: P:50 VM: 3006.95; RSS: 2.65468e+06
WSD: P:48 VM: 2303.79; RSS: 2.00466e+06
WSD: P:42 VM: 2431.69; RSS: 2.19744e+06
WSD: P:66 VM: 2689.1; RSS: 2.31646e+06
WSD: P:6 VM: 2965.41; RSS: 2.59071e+06
WSD: P:18 VM: 2843.16; RSS: 2.48305e+06
WSD: P:41 VM: 3313.77; RSS: 3.027e+06
WSD: P:117 VM: 2530.91; RSS: 2.26672e+06
WSD: P:119 VM: 2422.07; RSS: 2.1859e+06
WSD: P:60 VM: 2091.64; RSS: 1.77571e+06
WSD: P:34 VM: 3494.34; RSS: 3.18344e+06
WSD: P:0 VM: 3077.62; RSS: 2.74723e+06
WSD: P:13 VM: 2629.27; RSS: 2.30822e+06
WSD: P:1 VM: 2855.94; RSS: 2.5134e+06
WSD: P:2 VM: 2730.32; RSS: 2.40337e+06
WSD: P:9 VM: 3210.64; RSS: 2.84961e+06
WSD: P:126 VM: 2636.09; RSS: 2.40031e+06
WSD: P:120 VM: 2495.52; RSS: 2.2157e+06
376755744 : sectionN : contWSD: P:10 VM: 2421.5; RSS: 2.10527e+06
WSD: P:8 VM: 3250.25; RSS: 2.87056e+06
WSD: P:7 VM: 2548.81; RSS: 2.23628e+06
376770574 : multicellularN : leWSD: P:4 VM: 2920.37; RSS: 2.58868e+06
376774218 : organismN :WSD: P:12 VM: 3158.91; RSS: 2.94058e+06
WSD: P:118 VM: 3222.14; RSS: 2.86894e+06
WSD: P:104 VM: 1986.36; RSS: 1.71772e+06
376812370 : WSD: P:3 VM: 2380.73; RSS: 2.10389e+06
WSD: P:112 VM: 2690.36; RSS: 2.37844e+06
WSD: P:103 VM: 3251.45; RSS: 3.03257e+06
WSD: P:5 VM: 2395.23; RSS: 2.06844e+06
WSD: P:45 VM: 2947.32; RSS: 2.61578e+06
WSD: P:82 VM: 2735.41; RSS: 2.40313e+06
WSD: P:14 VM: 3204.78; RSS: 2.87419e+06
WSD: P:20 VM: 2621.8; RSS: 2.32651e+06
